  4470 vectors within the range 119.98 120.02
 -112   -2   43    -19 -110  -44    -1.625573  -0.468353
 -112    2  -43    -10  -64 -101     0.495967  -0.307843
 -112    2   43    -64   45  -91     1.220949  -1.615534
 -112    3  -43     90  -60   52    -0.824602   2.408253
 -112    3   43     85   78  -33    -1.125167   2.272233
 -112   16  -40    -28   84  -81    -0.047825  -0.683097
 -112   16   40     40   80   80     0.691502   1.011417
 -112   22  -37     43 -112    3     0.111057   1.082043
 -112   22   37    -22 -117  -15    -1.672385  -0.570394
 -112   37  -22     26    6  117     1.133172   0.623742
 -112   37   22    109  -36   35    -1.838949   2.866239
 -112   40  -16     -4  115   34    -2.389535  -0.130046
 -112   40   16     42  -91  -66     0.619258   1.058330
 -112   43   -3     61  -70  -76     0.662506   1.530114
 -112   43   -2    108   37   37    -0.022157   2.843887
 -112   43    2     28  -81  -84     0.912646   0.689586
 -112   43    3    -81   21   86     0.736652  -2.086379
 -111  -44  -12     86   81  -21     0.239214   2.300163
 -111  -44   12    108   52   -6     0.000639   2.851066
 -111  -41  -20    -19  -44  110    -1.206220  -0.464559
 -111  -41   20    -17   84   84    -0.172292  -0.444250
 -111  -36  -28    -55  -67   83    -1.517197  -1.404161
 -111  -36   28    -11 -119   11    -1.366695  -0.349001
 -111  -28  -36    109  -11  -49     0.181260   2.876122
 -111  -28   36     40 -101   51    -0.382266   0.986115
 -111  -20  -41     51  -40 -101     0.012128   1.288182
 -111  -20   41     -6   26  117    -0.020004  -0.216496
 -111  -12  -44    -96   65   31     0.121219  -2.538300
 -111  -12   44     53  -88  -62     0.177987   1.344346
 -111   12  -44    -37  -22  112    -0.842267  -0.945874
 -111   12   44    -63   32   97    -0.628409  -1.583375
 -111   20  -41     91  -61   49     2.466245   2.436666
 -111   20   41    -30  -87  -77     0.339956  -0.753125
 -111   28  -36     86   21   81     0.377784   2.292747
 -111   28   36    -27  -77  -88     0.564365  -0.668747
 -111   36  -28     36  102   52    -0.117810   0.915744
 -111   36   28    -83   25  -83    -0.824893  -2.152342
 -111   41  -20    -66  -81   59     1.172234  -1.690560
 -111   41   20     72   78   56     1.364594   1.853685
 -111   44  -12    -95   73   -7     0.624175  -2.518544
 -111   44   12   -108   -6  -52    -0.521673  -2.836403
 -110  -48    0     86   81   21    -0.070202   2.301069
 -110  -44  -19   -109  -36  -35     1.041149  -2.897949
 -110  -44   19    -10   59 -104    -1.756864  -0.297292
 -110  -19  -44    -35   86  -76    -0.549493  -0.842438
 -110  -19   44    -19  110  -44     0.359967  -0.459717
 -110    0  -48     -2  -92   77    -1.789126  -0.084222
 -110    0   48    -97  -32   63     0.028433  -2.606733
 -110   19  -44    -12   71   96    -1.016708  -0.360661
 -110   19   44     84   71  -48     0.682755   2.224891
 -110   44  -19    -57  -93  -50    -1.035351  -1.460648
 -110   44   19    -71  -12   96     1.084164  -1.802076
 -110   48    0     41  -99   54    -1.052644   1.028881
 -109  -50   -4    -25   83  -83     0.004969  -0.594841
 -109  -50    4     56   72   78    -0.186434   1.424811
 -109  -49  -11    -54  -41  -99     0.282789  -1.385491
 -109  -49   11     86  -81   21    -0.045417   2.282334
 -109  -46  -20    109   41  -29     1.302233   2.899291
 -109  -46   20     64   45  -91    -0.211985   1.628426
 -109  -41  -29    -31   21  114     0.691502  -0.765968
 -109  -41   29     28   83   82     0.032983   0.705459
 -109  -36  -35     83  -25  -83     1.140822   2.151742
 -109  -36   35     48  -66   88    -0.377056   1.223312
 -109  -35  -36    -36  -28 -111    -1.418158  -0.899121
 -109  -35   36     92   77    2     0.245528   2.502066
 -109  -29  -41    109  -49   11     0.486587   2.858461
 -109  -29   41     57  -44  -96     0.634965   1.446075
 -109  -20  -46      7   95   73    -0.089056   0.272087
 -109  -20   46    -28  111   36     0.374435  -0.678009
 -109  -11  -49    -44   12  111    -0.257322  -1.130245
 -109  -11   49    -92   -3   77     0.063147  -2.490832
 -109   -4  -50     75   26  -90    -1.932909   1.892377
 -109   -4   50      3   43  112    -0.649691   0.112266
 -109    4  -50     64  101   10    -1.460651   1.643429
 -109    4   50     33   78   85    -0.482451   0.814911
 -109   11  -49     62   77   68    -1.217418   1.573164
 -109   11   49   -119  -15   -4     0.146808  -3.122509
 -109   20  -46    108  -36   38    -0.159132   2.826901
 -109   20   46    -68   87   47     0.151117  -1.726948
 -109   29  -41    -21  -98  -66     0.690572  -0.541692
 -109   29   41    -44  -57  -96     1.390232  -1.143597
 -109   35  -36    -28   81  -84     2.257461  -0.691350
 -109   35   36     20 -111   41     0.443441   0.471001
 -109   36  -35    -66   98   21    -0.102546  -1.657239
 -109   36   35     42   66  -91    -0.083950   1.068494
 -109   41  -29     87  -30  -77     0.365359   2.311889
 -109   41   29    -64   10  101    -0.020767  -1.620525
 -109   46  -20     36  109   35     0.102445   0.921090
 -109   46   20   -108  -52    6     1.443063  -2.851640
 -109   49  -11    -29  116   10     0.305235  -0.711665
 -109   49   11    -37   37 -108     0.695058  -0.935929
 -109   50   -4    -26   61 -100    -0.540195  -0.614741
 -109   50    4    -26   75  -90    -0.120359  -0.612012
 -108  -52   -6    -96   64  -33     1.140024  -2.541711
 -108  -52    6    -76  -61   70     2.120806  -1.912717
 -108  -47  -23     11   49 -109     1.034967   0.338092
 -108  -47   23     40  -79  -81    -1.572195   0.993330
 -108  -38  -36    -40 -101  -51    -0.568898  -1.017434
 -108  -38   36    -21   66   98     0.632994  -0.517829
 -108  -37  -37     34   -4  115     0.022759   0.828406
 -108  -37   37     36   52  102     0.153625   0.907998
 -108  -36  -38    -44   12  111    -0.698140  -1.130621
 -108  -36   38   -120    0    1    -0.575963  -3.130376
 -108  -23  -47     62   68   77     1.145263   1.570179
 -108  -23   47   -106   -5   56    -0.017132  -2.781709
 -108   -6  -52    -44  -19  110    -0.794894  -1.136147
 -108   -6   52    109  -20   46    -2.044739   2.874763
 -108    6  -52     26  -61 -100     1.852325   0.613541
 -108    6   52    -77   -3  -92     0.185314  -1.952544
 -108   23  -47     -6  -98  -69     0.718039  -0.246216
 -108   23   47    -92   77    3     0.003392  -2.471680
 -108   36  -38    120   -1   -1     0.962733   3.124942
 -108   36   38    -82   69  -54     0.306927  -2.116328
 -108   37  -37     21  -66   98     0.256057   0.518862
 -108   37   37    111  -12  -44     1.223531   2.941081
 -108   38  -36      2  -96  -72     0.302392   0.058180
 -108   38   36     -6   54  107     0.097132  -0.208417
 -108   47  -23    -53  -88  -62     0.995118  -1.359390
 -108   47   23      0   -2  120     0.801561  -0.004882
 -108   52   -6     -5  106  -56     1.055147  -0.162784
 -108   52    6     83  -25   83     1.437230   2.152841
 -107  -54   -6     27  114   26     1.350047   0.677272
 -107  -54    6    -88   27   77    -0.370601  -2.345124
 -107  -53  -12      6   52 -108    -0.296761   0.230762
 -107  -53   12     91   49   61     0.981804   2.459646
 -107  -12  -53    -89    9   80     1.304313  -2.390083
 -107  -12   53    -64  101   10     0.889319  -1.600875
 -107   -6  -54      9  -80  -89     0.413577   0.276324
 -107   -6   54    -42   45 -103     2.213437  -1.064388
 -107    6  -54     29   41  109     0.602481   0.727503
 -107    6   54   -100   26  -61     1.114995  -2.660885
 -107   12  -53   -102  -60  -20     0.359516  -2.720979
 -107   12   53    108  -36  -38     1.322911   2.825595
 -107   53  -12     36  -72  -89    -1.332819   0.883670
 -107   53   12    -78    6  -91    -1.025118  -1.998022
 -107   54   -6     91  -45   64    -0.508565   2.442372
 -107   54    6    -37  108  -37     1.667645  -0.932452
 -106  -56   -5    -20 -111  -41     0.702337  -0.502971
 -106  -56    5   -120    1    1     1.388003  -3.125024
 -106  -44  -35    -61  -91  -49     1.420507  -1.550871
 -106  -44   35    -47  108  -23     1.002945  -1.191909
 -106  -35  -44     85  -83   17     0.938514   2.239824
 -106  -35   44    107   53  -12    -1.513180   2.809823
 -106   -5  -56     -6 -117   26    -0.150182  -0.256490
 -106   -5   56    -81  -40   79     0.591432  -2.095633
 -106    5  -56    -76  -86  -35    -1.206926  -1.919946
 -106    5   56     -2  -96  -72    -2.140991  -0.087186
 -106   35  -44    -81   66  -59     0.046690  -2.076211
 -106   35   44     96  -65   31     0.458133   2.539364
 -106   44  -35     76  -61  -70    -1.856190   1.903996
 -106   44   35    -85  -17   83     1.387015  -2.260269
 -106   56   -5     84   17   84    -0.028355   2.212342
 -106   56    5     49  109   11     0.102241   1.261648
 -105  -58   -3    -84  -57   64     0.375804  -2.218423
 -105  -58    3     93   57   50     0.577780   2.515095
 -105   -3  -58    -60  -90   52     1.323109  -1.515371
 -105   -3   58    110  -19  -44     2.818495   2.914210
 -105    3  -58    -48    0 -110    -0.063809  -1.225773
 -105    3   58     67  -83   55    -0.269954   1.705922
 -105   58   -3     26   -6  117     1.174541   0.619926
 -105   58    3     20 -109   46     1.097687   0.474202
 -104  -59  -10     36  -38 -108    -1.412869   0.889426
 -104  -59   10    -22 -117  -15    -0.033137  -0.569478
 -104  -10  -59     -3  112   43    -0.678488  -0.093845
 -104  -10   59    -29  -41 -109     1.761088  -0.726905
 -104   10  -59     35  -76   86    -0.253643   0.845446
 -104   10   59    116   29   10    -1.313566   3.072473
 -104   59  -10    -52   90  -60    -0.947678  -1.306811
 -104   59   10    -52 -102   36     0.850002  -1.333844
 -103  -52  -33    -12  -96  -71    -0.081269  -0.378266
 -103  -52   33     40  -79   81     1.862158   0.994200
 -103  -45  -42     84  -57  -64     0.209475   2.193153
 -103  -45   42    -81   59   66     0.901853  -2.077711
 -103  -42  -45    -96  -57  -44    -0.473560  -2.584095
 -103  -42   45     57   84   64    -0.744227   1.458721
 -103  -33  -52   -108  -37   37     0.829960  -2.843250
 -103  -33   52   -109    4   50     0.565439  -2.879672
 -103   33  -52     11   84  -85     0.060378   0.340868
 -103   33   52     21  -81  -86     0.232203   0.514608
 -103   42  -45     66  -98   21     0.119628   1.658552
 -103   42   45     20   60 -102    -0.644828   0.492412
 -103   45  -42    -91    6   78    -1.277154  -2.446177
 -103   45   42    -57  -93  -50     1.541494  -1.461598
 -103   52  -33    -95   73    7     0.268885  -2.516395
 -103   52   33    -17  -84  -84     0.173405  -0.454346
 -102  -63   -5    -91  -45  -64    -1.166992  -2.456925
 -102  -63    5     82   28  -83    -1.552193   2.122957
 -102  -60  -20     77  -68   62     0.194507   1.932986
 -102  -60   20   -117  -15   22    -0.899190  -3.087796
 -102  -52  -36     -5   63 -102     1.369138  -0.168430
 -102  -52   36    -17   84   84     1.429506  -0.445253
 -102  -36  -52    -66   81  -59    -0.737515  -1.666366
 -102  -36   52     83   85  -17    -1.792412   2.176921
 -102  -20  -60    -24  -88   78    -0.622914  -0.590640
 -102  -20   60     -3  112   43    -0.941199  -0.093851
 -102   -5  -63      7  -95  -73    -0.119678   0.262695
 -102   -5   63     68  -13  -98     0.406515   1.737479
 -102    5  -63    -78  -88   24    -0.535722  -2.016571
 -102    5   63     21   86  -81    -0.672809   0.538122
 -102   20  -60    -40  -16  112    -0.626786  -1.001553
 -102   20   60   -111   44  -12    -0.098646  -2.928287
 -102   36  -52    -52  102  -36     1.826555  -1.303488
 -102   36   52     42   91  -66    -0.205634   1.071329
 -102   52  -36    108  -52   -6     0.468282   2.815005
 -102   52   36    -37  112   22    -0.672112  -0.927959
 -102   60  -20      6 -108  -52     0.096619   0.192524
 -102   60   20    -64   57  -84    -0.794584  -1.613633
 -102   63   -5    -82   28  -83    -0.738722  -2.121810
 -102   63    5     11 -109   49     0.574780   0.323182
 -101  -64  -10    110   19  -44     0.046925   2.919672
 -101  -64   10   -117   22   15    -1.022043  -3.076906
 -101  -51  -40   -112   43    3    -0.479815  -2.961198
 -101  -51   40    102  -60   20    -0.725048   2.695089
 -101  -40  -51     77   92   -3     3.030793   1.970984
 -101  -40   51     65  -96  -31    -1.349212   1.644730
 -101  -10  -64    -30  -27  113     0.254546  -0.745798
 -101  -10   64    -30   77  -87    -0.210588  -0.740838
 -101   10  -64     60  -20  102     1.043085   1.509218
 -101   10   64     66  -91   42     0.853929   1.661006
 -101   40  -51     96   33  -64     0.707070   2.577740
 -101   40   51     63   32   97     0.570933   1.593059
 -101   51  -40    -34 -115   -4     1.636676  -0.834063
 -101   51   40   -111  -12   44     0.299909  -2.943970
 -101   64  -10     78  -33  -85    -0.308049   1.991261
 -101   64   10     73   95   -7    -0.648015   1.883950
 -100  -61  -26   -114  -31   21    -0.163664  -3.045130
 -100  -61   26     36 -111  -28     0.293306   0.869654
 -100  -26  -61     -9   80   89     0.626524  -0.276614
 -100  -26   61    -69  -98   -6     0.293750  -1.778206
 -100   26  -61    -96  -65   31     0.794894  -2.588535
 -100   26   61    102   52  -36    -1.120028   2.715697
 -100   61  -26    -10  -59 -104     1.317942  -0.305966
 -100   61   26    112   -2   43     0.196584   2.981994
  -99  -54  -41     21 -114  -31    -0.328084   0.506909
  -99  -54   41    114   26   27     0.176490   3.041480
  -99  -41  -54   -115  -34   -4     1.126353  -3.061408
  -99  -41   54     61  100   26    -2.096953   1.553602
  -99   41  -54    -98    6   69    -1.045751  -2.625925
  -99   41   54     82   54   69    -0.730348   2.127080
  -99   54  -41    -88  -53  -62    -0.463110  -2.365752
  -99   54   41    -91  -45   64     0.363486  -2.455305
  -98  -69   -6    -47   23  108     0.085631  -1.198348
  -98  -69    6    109   20  -46    -0.886509   2.887174
  -98  -68  -13     79   40  -81     0.671337   2.027139
  -98  -68   13    -64  -84   57     0.186174  -1.633393
  -98  -66  -21     16  -40  112    -0.766403   0.429915
  -98  -66   21     -2  -77   92    -0.342432  -0.081221
  -98  -21  -66     78   85  -33     1.503224   2.013694
  -98  -21   66    -73  -85   43     0.999650  -1.881504
  -98  -13  -68    -96  -72    2     0.968748  -2.594720
  -98  -13   68    -37  -37 -108     0.450719  -0.948912
  -98   -6  -69     -3  -43 -112    -0.558252  -0.111547
  -98   -6   69     37 -114    6    -0.183013   0.926630
  -98    6  -69    -61  -26  100    -0.009900  -1.538562
  -98    6   69    -82   69   54     1.693046  -2.114332
  -98   13  -68     -2  -43 -112    -0.038115  -0.077182
  -98   13   68     29  109  -41     0.790601   0.728748
  -98   21  -66     40  101  -51    -0.877211   1.016205
  -98   21   66    -10  -64  101     0.078808  -0.306735
  -98   66  -21      2   92   77     1.141631   0.085054
  -98   66   21     32   63   97     2.152980   0.786218
  -98   68  -13     83  -82   28    -0.350654   2.141729
  -98   68   13    -83   25  -83     0.797678  -2.153196
  -98   69   -6    -90   26  -75    -1.330922  -2.414446
  -98   69    6   -114   31  -21     0.358952  -3.022055
  -97  -63  -32     -2   72  -96     1.621941  -0.067587
  -97  -63   32   -106   35   44    -1.367234  -2.775252
  -97  -32  -63    -89   80    9     1.107439  -2.382271
  -97  -32   63    -71  -84  -48    -0.117182  -1.810157
  -97   32  -63     89   -9   80     0.578906   2.391281
  -97   32   63    109  -36   35    -2.176265   2.867229
  -97   63  -32     11  109   49    -0.508939   0.348310
  -97   63   32   -109   46   20     0.498151  -2.859781
  -96  -72   -2     91   49  -61    -0.881871   2.457142
  -96  -72   -1    -33  -52  103     0.693893  -0.807479
  -96  -72    0    -88   62  -53    -1.511954  -2.337599
  -96  -72    1     44   19  110     1.280677   1.137402
  -96  -72    2   -112   43   -3    -0.488379  -2.965396
  -96  -71  -12     -3  -92  -77     1.133866  -0.120500
  -96  -71   12    -80  -89   -9    -0.242464  -2.065339
  -96  -65  -31    -81  -59  -66    -1.105227  -2.099612
  -96  -65   31    -80  -80   40     0.544737  -2.058209
  -96  -64  -33    109   35   36     0.542427   2.894343
  -96  -64   33     12   96  -71     0.178598   0.376774
  -96  -57  -44    -40  -79  -81    -1.451750  -1.008648
  -96  -57   44    -72  -56  -78    -0.129394  -1.850406
  -96  -44  -57    -15 -119   -4    -2.697484  -0.418379
  -96  -44   57    -77  -92   -2     0.498743  -1.974019
  -96  -33  -64     33  -78  -85     0.933917   0.799092
  -96  -33   64    -43   85   73     0.555300  -1.082964
  -96  -31  -65    -96  -65   31    -1.513164  -2.588255
  -96  -31   65    112   40  -16    -0.438282   2.998085
  -96  -12  -71    -64  -84  -57     0.669797  -1.635195
  -96  -12   71     34    4 -115    -0.724064   0.829809
  -96   -2  -72    -69  -98   -6    -1.327897  -1.778919
  -96   -2   72    -87   47   68     1.198100  -2.308120
  -96   -1  -72    -96  -72    1    -2.295232  -2.595507
  -96   -1   72     28  -83  -82     2.008163   0.683612
  -96    0  -72    102   -5  -63    -0.748454   2.704954
  -96    0   72    -59 -104  -10    -0.135915  -1.497985
  -96    1  -72    -11   84  -85    -1.316726  -0.328004
  -96    1   72    -46  -20 -109    -0.759796  -1.185060
  -96    2  -72     63  102   -5    -1.767962   1.598201
  -96    2   72   -103   52   33     0.942387  -2.725325
  -96   12  -71     83  -25  -83     1.081820   2.151215
  -96   12   71     40  112  -16    -0.280591   1.018224
  -96   31  -65     58 -105   -3     0.558430   1.466043
  -96   31   65     52    6 -108     1.912074   1.318863
  -96   33  -64     72   78  -56     1.913302   1.851340
  -96   33   64    -47   87  -68     1.228835  -1.194337
  -96   44  -57   -102   52   36    -1.103433  -2.696901
  -96   44   57     99   54   41     0.716995   2.656261
  -96   57  -44    -31  -21  114    -0.444745  -0.767815
  -96   57   44      6  -91  -78     0.670452   0.200598
  -96   64  -33     16   40 -112     0.344457   0.430888
  -96   64   33    -81   59   66    -0.429037  -2.078514
  -96   65  -31     57  -93   50    -1.657567   1.435827
  -96   65   31    -56  -78   72    -0.071888  -1.426235
  -96   71  -12     40  -51 -101    -0.070978   0.996428
  -96   71   12     63  102    5     0.507878   1.599591
  -96   72   -2      2  112  -43    -0.080307   0.089881
  -96   72   -1     13   98   68    -0.106362   0.395088
  -96   72    0    119   11   11     0.374736   3.119667
  -96   72    1    -91  -78   -6     0.028253  -2.470780
  -96   72    2    -84   71   48     1.426187  -2.187756
  -95  -73   -7   -107    6  -54    -1.330289  -2.802576
  -95  -73    7    -10  -64 -101    -1.099710  -0.308287
  -95   -7  -73     85   83  -17     1.957349   2.275050
  -95   -7   73     81   66  -59    -0.287945   2.100208
  -95    7  -73     68   13  -98     0.823113   1.740710
  -95    7   73   -114   26  -27    -1.112156  -3.026999
  -95   73   -7   -109   35   36     0.886637  -2.868316
  -95   73    7    -88   16   80     1.016150  -2.350350
  -93  -57  -50   -104   10   59     1.860821  -2.750505
  -93  -57   50     -3   43 -112     0.688436  -0.108486
  -93  -50  -57    118    6  -21     0.034818   3.100908
  -93  -50   57    -50 -109   -4     0.407787  -1.283499
  -93   50  -57     58   -3 -105    -0.011215   1.468749
  -93   50   57     33   52  103     0.970067   0.808564
  -93   57  -50     98   66   21    -1.860425   2.639359
  -93   57   50    -97  -63   32    -0.649878  -2.610228
  -92  -77   -3    -54   82  -69     0.137926  -1.370665
  -92  -77   -2    -47 -108  -23    -0.901584  -1.210505
  -92  -77    2    -57   50   93    -1.480405  -1.443182
  -92  -77    3    -40   16  112     0.044563  -0.998857
  -92  -67  -38   -109  -46  -20    -1.584883  -2.902853
  -92  -67   38     76  -86  -35     0.142495   1.898096
  -92  -38  -67     48  -84   71     1.049481   1.217321
  -92  -38   67    -12 -111   44     0.861510  -0.382369
  -92   -3  -77      2 -120    0     0.810331   0.054159
  -92   -3   77      5   63 -102     0.491824   0.175444
  -92   -2  -77     43    2  112    -0.155370   1.095810
  -92   -2   77     36  -72   89    -0.894476   0.885455
  -92    2  -77    -63   32  -97    -0.637139  -1.584903
  -92    2   77    -34 -115    4     0.340281  -0.832392
  -92    3  -77      0    2  120     1.068897   0.006575
  -92    3   77     50 -109   -4     2.006172   1.263388
  -92   38  -67     84  -48   71     0.228478   2.198055
  -92   38   67    -33  -64  -96    -0.546824  -0.811083
  -92   67  -38     -4  115   34     0.279132  -0.130231
  -92   67   38     62   77   68     2.146998   1.573723
  -92   77   -3    -96  -57   44     0.585884  -2.582981
  -92   77   -2   -109   49  -11    -1.127849  -2.858866
  -92   77    2     46 -109   20    -0.568290   1.180021
  -92   77    3    115   -4  -34     1.848252   3.053506
  -91  -78   -6    -98  -69   -6    -0.899164  -2.645388
  -91  -78    6     61 -100  -26    -0.662264   1.521002
  -91  -66  -42      0    0 -120    -1.091492  -0.000842
  -91  -66   42    -10   29  116     1.214485  -0.298191
  -91  -64  -45    -90  -60  -52     1.562537  -2.422814
  -91  -64   45    -63    5  102     1.317360  -1.586381
  -91  -61  -49    -66  -42   91     1.473361  -1.681929
  -91  -61   49    -76  -35   86    -0.959313  -1.909656
  -91  -49  -61     15   -4  119    -0.682503   0.407322
  -91  -49   61     73   -7  -95     1.267720   1.872879
  -91  -45  -64    109  -11  -49     0.999706   2.876856
  -91  -45   64   -119   11   11     1.245496  -3.110351
  -91  -42  -66    -64  -33  -96     1.608651  -1.626973
  -91  -42   66    -43  112    2     0.053258  -1.078377
  -91   -6  -78     41  -20  111     0.140830   1.036738
  -91   -6   78    109    4   50     0.661751   2.884201
  -91    6  -78    -40 -112  -16    -0.433233  -1.019198
  -91    6   78      2  112  -43     0.593384   0.088832
  -91   42  -66    -85   73   43    -0.373521  -2.243626
  -91   42   66    -47  -68   87     0.609105  -1.204410
  -91   45  -64    -91  -45  -64     0.809271  -2.456079
  -91   45   64    -45  103  -42     0.809299  -1.157159
  -91   49  -61     92  -67   38     1.164909   2.479054
  -91   49   61     85  -43   73     0.767901   2.248295
  -91   61  -49    -32  -63  -97     0.057857  -0.786436
  -91   61   49     84  -84   17     2.263899   2.183227
  -91   64  -45    -45   91   64     0.758613  -1.158905
  -91   64   45     -3 -112   43     0.065691  -0.124096
  -91   66  -42    -43  -73   85    -0.645028  -1.100199
